NCTId,LeadSponsorName,CollaboratorName,DesignPrimaryPurpose,Phase,EnrollmentCount,CompletionDate,LocationCountry,LocationStatus
NCT04345848,"University Hospital, Geneva",Not Applicable,Treatment,Phase 3,200,2021-03-31,Switzerland,Recruiting
NCT04534608,Universitätsklinikum Hamburg-Eppendorf,Altona Children's Hospital,Generic,Unknown,6000,2021-03-31,Germany,Unknown
NCT04353583,University of Giessen,Not Applicable,Generic,Unknown,40,2021-03-31,Germany,Recruiting
NCT04409535,University of New Mexico,Not Applicable,Generic,Unknown,500,2021-03-31,United States,Unknown
NCT04523181,Golden Biotechnology Corporation,Not Applicable,Treatment,Phase 2,174,2021-03-31,United States,Recruiting
NCT04496076,University of Pittsburgh,Not Applicable,Generic,Unknown,300,2021-03-31,United States,Unknown
NCT03681288,VA Office of Research and Development,Providence VA Medical Center,Treatment,Unknown,24,2021-03-31,United States,Recruiting
NCT04496128,University of Pittsburgh,Not Applicable,Generic,Unknown,300,2021-03-31,United States,Unknown
NCT04414293,Hospital Provincial de Castellon,Not Applicable,Treatment,Unknown,41,2021-03-31,Spain,Unknown
NCT04442048,Canadian Cancer Trials Group,Immodulon Therapeutics Ltd,Treatment,Phase 3,1500,2021-03-31,Canada,Recruiting
NCT04492904,"Clinical Nutrition Research Centre, Singapore","National University Hospital, Singapore",Generic,Unknown,5000,2021-03-31,Singapore,Recruiting
NCT04390217,"Leading BioSciences, Inc",Not Applicable,Treatment,Phase 2,120,2021-03-31,N.A,Unknown
NCT04415151,Yale University,Not Applicable,Treatment,Phase 2,60,2021-03-31,United States,Recruiting
NCT04480333,"NeuroActiva, Inc.",Not Applicable,Treatment,Phase 1,45,2021-03-31,United States,Recruiting
NCT04398264,Inova Health System,Not Applicable,Generic,Unknown,100,2021-03-31,United States,Recruiting
NCT04365361,The University of Hong Kong,Not Applicable,Generic,Unknown,300,2021-03-31,Hong Kong,Recruiting
NCT04419545,Azienda Ospedaliera Città della Salute e della Scienza di Torino,"University of Turin, Italy",Generic,Unknown,2500,2021-03-31,Italy,Recruiting
NCT04322396,"Chronic Obstructive Pulmonary Disease Trial Network, Denmark",Not Applicable,Treatment,Phase 2,226,2021-03-31,Denmark,Recruiting
NCT04575610,Yale University,Pfizer,Treatment,Phase 2,68,2021-03-31,United States,Unknown
NCT04452812,Universidad Autonoma de Coahuila,"National Council of Science and Technology, Mexico",Treatment,Phase 1,15,2021-04-01,Mexico,Unknown
NCT04347993,Hackensack Meridian Health,Not Applicable,Generic,Unknown,5000,2021-04-01,United States,Recruiting
NCT04374045,Centre Hospitalier Universitaire de Saint Etienne,Not Applicable,Generic,Unknown,50,2021-04-01,France,Recruiting
NCT04397822,"University Hospital, Toulouse",Not Applicable,Generic,Unknown,60,2021-04-01,France,Recruiting
NCT04379466,Assistance Publique - Hôpitaux de Paris,Not Applicable,Generic,Unknown,60,2021-04-01,France,Recruiting
NCT04347239,"CytoDyn, Inc.",Not Applicable,Treatment,Phase 2,390,2021-04-01,United States,Recruiting
NCT04510662,Abraham Edgar Gracia-Ramos,"National Polytechnic Institute, Mexico",Treatment,Phase 2,60,2021-04-01,Mexico,Recruiting
NCT04401475,Edesa Biotech Inc.,JSS Medical Research Inc.,Treatment,Phase 2,865,2021-04-01,N.A,Unknown
NCT04345679,Orthosera Kft.,Semmelweis University,Treatment,Early Phase 1,20,2021-04-01,N.A,Unknown
NCT04558320,University of Rochester,National Institute of Allergy and Infectious Diseases (NIAID),Generic,Unknown,100,2021-04-01,United States,Recruiting
NCT04502667,"Coordinación de Investigación en Salud, Mexico",Hospital Infantil de Mexico Federico Gomez,Treatment,Phase 3,40,2021-04-01,Mexico,Recruiting
NCT04516564,Akesobio Australia Pty Ltd,Not Applicable,Other,Phase 1,32,2021-04-01,New Zealand,Recruiting
NCT04345614,"CalciMedica, Inc.",Not Applicable,Treatment,Phase 2,400,2021-04-01,United States,Recruiting
NCT04398277,Kent State University,Not Applicable,Supportive Care,Unknown,1000,2021-04-01,United States,Recruiting
NCT04568122,Stanford University,Not Applicable,Diagnostic,Unknown,3015,2021-04-01,United States,Unknown
NCT04405934,"University College, London",Public Health England,Health Services Research,Unknown,2000,2021-04-01,N.A,Unknown
NCT04312009,University of Minnesota,Bill and Melinda Gates Foundation,Treatment,Phase 2,200,2021-04-01,United States,Recruiting
NCT04346615,"Biohaven Pharmaceuticals, Inc.",Not Applicable,Treatment,Phase 2,120,2021-04-01,United States,Recruiting
NCT04331106,"Charite University, Berlin, Germany",Not Applicable,Generic,Unknown,7500,2021-04-01,Germany,Recruiting
NCT04369599,Emory University,Georgia Tech Research Foundation,Treatment,Unknown,24,2021-04-01,United States,Unknown
NCT04584697,"Sorrento Therapeutics, Inc.",Not Applicable,Treatment,Phase 1,50,2021-04-01,N.A,Unknown
NCT04524663,Stanford University,Not Applicable,Treatment,Phase 2,120,2021-04-01,United States,Unknown
NCT04357574,Duke University,Not Applicable,Generic,Unknown,1000,2021-04-01,United States,Unknown
NCT04374513,Damanhour University,Not Applicable,Generic,Unknown,50,2021-04-01,Egypt,Recruiting
NCT04551911,"OPKO Health, Inc.",Not Applicable,Treatment,Phase 2,160,2021-04-01,N.A,Unknown
NCT04368390,"University Hospital, Strasbourg, France",Not Applicable,Generic,Unknown,100,2021-04-01,France,Recruiting
NCT04382586,BeiGene,Not Applicable,Treatment,Phase 2,52,2021-04-01,United States,Recruiting
NCT04347798,University of Alberta,Not Applicable,Generic,Unknown,500,2021-04-01,Canada,Unknown
NCT04572412,Lancashire Teaching Hospitals NHS Foundation Trust,NIHR Lancashire Clinical Research Facility,Health Services Research,Unknown,13,2021-04-01,United Kingdom,Unknown
NCT04349371,Columbia University,Not Applicable,Prevention,Phase 2,350,2021-04-01,United States,Recruiting
NCT04319172,Fundación Pública Andaluza para la gestión de la Investigación en Sevilla,Spanish Network for Research in Infectious Diseases,Generic,Unknown,50,2021-04-01,Spain,Recruiting
NCT04367740,"University of North Carolina, Chapel Hill",Not Applicable,Generic,Unknown,10000,2021-04-01,United States,Unknown
NCT04473599,"University of California, Berkeley",Not Applicable,Prevention,Unknown,200,2021-04-01,United States,Recruiting
NCT04505592,Hooman Poor,"Genentech, Inc.",Treatment,Phase 2,60,2021-04-01,United States,Recruiting
NCT04343755,Hackensack Meridian Health,Not Applicable,Treatment,Phase 2,55,2021-04-01,United States,Recruiting
NCT04405869,"University Hospital, Strasbourg, France",Not Applicable,Generic,Unknown,300,2021-04-01,France,Recruiting
NCT04390503,Columbia University,Not Applicable,Treatment,Phase 2,200,2021-04-01,United States,Recruiting
NCT04436458,"First Wave Bio, Inc.",Not Applicable,Treatment,Phase 2,100,2021-04-01,N.A,Unknown
NCT04447469,"Kiniksa Pharmaceuticals, Ltd.",Not Applicable,Treatment,Phase 2,573,2021-04-01,United States,Recruiting
NCT04556864,Juan Victor Lorente,Edwards Lifesciences,Generic,Unknown,67,2021-04-01,Spain,Unknown
NCT04397575,Federation Francophone de Cancerologie Digestive,ARCAGY/ GINECO GROUP,Generic,Unknown,1000,2021-04-01,France,Recruiting
NCT04384458,Nucleo De Pesquisa E Desenvolvimento De Medicamentos Da Universidade Federal Do Ceara,Not Applicable,Prevention,Unknown,400,2021-04-01,Brazil,Recruiting
NCT04337983,Bicetre Hospital,Not Applicable,Generic,Unknown,200,2021-04-01,France,Recruiting
NCT04366921,Maastricht University Medical Center,European chapter of the Extracorporeal Life Support Organization,Generic,Unknown,150,2021-04-01,Austria,Recruiting
NCT04389671,Windtree Therapeutics,Not Applicable,Treatment,Phase 1,30,2021-04-01,United States,Unknown
NCT04537663,UMC Utrecht,Not Applicable,Prevention,Phase 4,5200,2021-04-01,Netherlands,Recruiting
NCT04352933,Cambridge University Hospitals NHS Foundation Trust,Not Applicable,Prevention,Phase 3,1000,2021-04-01,United Kingdom,Recruiting
NCT04482686,ProgenaBiome,Topelia Therapeutics,Treatment,Phase 2,300,2021-04-01,United States,Unknown
NCT04397562,Biocad,Not Applicable,Treatment,Phase 3,204,2021-04-01,Russian Federation,Unknown
NCT04495101,"Instituto Grifols, S.A.",Not Applicable,Treatment,Phase 2,100,2021-04-01,Spain,Recruiting
NCT04400019,University of Malaga,Instituto de Investigacion Biomedica de Malaga,Prevention,Phase 2,1930,2021-04-01,N.A,Unknown
NCT04441372,"Medecins Sans Frontieres, Spain",Mahidol Oxford Tropical Medicine Research Unit (MORU),Generic,Unknown,1200,2021-04-01,Bangladesh,Unknown
NCT04510402,Brigham and Women's Hospital,3M,Prevention,Phase 1,50,2021-04-01,N.A,Unknown
NCT04381377,NPO Petrovax,Not Applicable,Treatment,Phase 2,394,2021-04-01,Russian Federation,Not yet recruiting
NCT04427280,Royal Marsden NHS Foundation Trust,"St George's, University of London",Generic,Unknown,60,2021-04-01,United Kingdom,Recruiting
NCT04452942,EicOsis Human Health Inc.,Not Applicable,Generic,Unknown,30,2021-04-01,United States,Unknown
NCT04362176,Vanderbilt University Medical Center,Dolly Parton,Treatment,Phase 3,500,2021-04-01,United States,Recruiting
NCT04425252,"Clear Creek Bio, Inc.",Not Applicable,Treatment,Phase 1,24,2021-04-01,United States,Recruiting
NCT04526769,University of Minnesota,Not Applicable,Generic,Unknown,30,2021-04-01,United States,Unknown
NCT04469491,"Centre Hospitalier Universitaire, Amiens",Not Applicable,Treatment,Phase 2,60,2021-04-01,France,Recruiting
NCT04462783,University of Michigan,Vironix Health Incorporated,Other,Unknown,200,2021-04-01,N.A,Unknown
NCT04511429,D'Or Institute for Research and Education,Hospital Estadual da Criança,Generic,Unknown,200,2021-04-01,Brazil,Recruiting
NCT04359810,Max R. O'Donnell,New York Blood Center,Treatment,Phase 2,105,2021-04-01,United States,Recruiting
NCT04374552,"Rutgers, The State University of New Jersey",Not Applicable,Treatment,Phase 2,140,2021-04-01,United States,Unknown
NCT04303507,University of Oxford,Not Applicable,Prevention,Unknown,40000,2021-04-01,Indonesia,Not yet recruiting
NCT04311177,University of Minnesota,The Minnesota Foundation,Treatment,Phase 2,580,2021-04-01,United States,Recruiting
NCT04356677,"Bausch Health Americas, Inc.",Not Applicable,Treatment,Phase 1,50,2021-04-01,N.A,Unknown
NCT04357041,"Clinical Nutrition Research Center, Illinois Institute of Technology",Not Applicable,Generic,Unknown,500,2021-04-01,United States,Unknown
NCT04551768,"Bausch Health Americas, Inc.",Not Applicable,Treatment,Phase 1,50,2021-04-01,N.A,Unknown
NCT04339426,HonorHealth Research Institute,Not Applicable,Treatment,Phase 2,25,2021-04-01,United States,Recruiting
NCT04337489,Imperial College London,CW+ Charity,Generic,Unknown,200,2021-04-01,N.A,Unknown
NCT04471051,"University of Colorado, Denver",Not Applicable,Generic,Unknown,150,2021-04-01,United States,Recruiting
NCT04367831,Columbia University,Not Applicable,Treatment,Phase 4,100,2021-04-01,United States,Recruiting
NCT04341792,"University Hospital, Lille",Not Applicable,Generic,Unknown,1000,2021-04-01,France,Recruiting
NCT04519125,Hospital Universitario San Ignacio,Pontificia Universidad Javeriana,Prevention,Phase 2,950,2021-04-01,N.A,Unknown
NCT04352751,Hilton Pharma,Not Applicable,Other,Unknown,2000,2021-04-01,Pakistan,Recruiting
NCT04435327,University of Milano Bicocca,Not Applicable,Generic,Unknown,300,2021-04-01,Italy,Recruiting
NCT04379661,Columbia University,Not Applicable,Supportive Care,Unknown,52,2021-04-01,United States,Recruiting
NCT04359914,University of Rostock,Ludwig-Maximilians - University of Munich,Generic,Unknown,80,2021-04-01,Germany,Recruiting
NCT04380909,University of Bern,Not Applicable,Treatment,Unknown,80,2021-04-01,Switzerland,Recruiting
NCT04508556,Owlstone Ltd,OLVG,Generic,Unknown,500,2021-04-01,N.A,Unknown
NCT04328012,Bassett Healthcare,Reid Health,Treatment,Phase 2,4000,2021-04-01,United States,Recruiting
NCT04429815,"Central Hospital, Nancy, France",Not Applicable,Generic,Unknown,489,2021-04-01,N.A,Unknown
NCT04387240,Princess Nourah Bint Abdulrahman University,Not Applicable,Treatment,Phase 2,22,2021-04-01,Saudi Arabia,Unknown
NCT04401098,Damanhour University,Not Applicable,Generic,Unknown,700,2021-04-01,Egypt,Recruiting
NCT04594343,ETICA,Spring Research Foundation,Treatment,Phase 2,200,2021-04-01,Brazil,Unknown
NCT04369690,University of Ottawa,Hopital du Sacre-Coeur de Montreal,Generic,Unknown,1000,2021-04-03,Canada,Not yet recruiting
NCT04374565,University of Virginia,Not Applicable,Treatment,Phase 2,29,2021-04-05,United States,Unknown
NCT04534790,Instituto Mexicano del Seguro Social,Not Applicable,Treatment,Unknown,30,2021-04-05,Mexico,Recruiting
NCT04354584,Hvidovre University Hospital,Not Applicable,Generic,Unknown,20,2021-04-06,Denmark,Recruiting
NCT04508023,"Janssen Research & Development, LLC",Not Applicable,Treatment,Phase 3,4000,2021-04-06,United States,Not yet recruiting
NCT04339634,Tabula Rasa HealthCare,Not Applicable,Generic,Unknown,12123,2021-04-06,United States,Unknown
NCT04384588,Fundacion Arturo Lopez Perez,Confederación de la Producción y del Comercio (CPC),Treatment,Phase 2,100,2021-04-06,Chile,Recruiting
NCT04370262,Northwell Health,Not Applicable,Treatment,Phase 3,942,2021-04-07,United States,Recruiting
NCT04360707,"University Hospital, Strasbourg, France",Not Applicable,Generic,Unknown,300,2021-04-08,France,Recruiting
NCT04345653,Hackensack Meridian Health,Not Applicable,Prevention,Phase 2,44,2021-04-08,United States,Unknown
NCT04535700,Fundacion para la Investigacion Biomedica del Hospital Universitario Ramon y Cajal,Not Applicable,Treatment,Phase 4,76,2021-04-10,N.A,Unknown
NCT04564716,"Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation",RDIF (Russian Direct Investment Fund),Prevention,Phase 3,100,2021-04-10,Belarus,Recruiting
NCT04351763,Nicolaus Copernicus University,Not Applicable,Treatment,Phase 2,804,2021-04-10,Poland,Recruiting
NCT04347681,King Fahad Specialist Hospital Dammam,King Fahad Medical City,Treatment,Phase 2,575,2021-04-11,Saudi Arabia,Recruiting
NCT04347694,Medical University of Vienna,Not Applicable,Generic,Unknown,400,2021-04-11,Austria,Recruiting
NCT04344015,Thomas Jefferson University,Not Applicable,Other,Unknown,2000,2021-04-12,United States,Recruiting
NCT04458337,Centre hospitalier de l'Université de Montréal (CHUM),Hôpital Maisonneuve-Rosemont,Generic,Unknown,120,2021-04-13,Canada,Recruiting
NCT04369989,OSF Healthcare System,Not Applicable,Generic,Unknown,1000,2021-04-14,United States,Unknown
NCT04400799,University of Zurich,"University Hospital Inselspital, Berne",Treatment,Phase 3,1000,2021-04-14,Switzerland,Recruiting
NCT04389710,Thomas Jefferson University,Not Applicable,Treatment,Phase 2,100,2021-04-14,United States,Recruiting
NCT04295551,Jiangxi Qingfeng Pharmaceutical Co. Ltd.,Not Applicable,Treatment,Unknown,80,2021-04-14,N.A,Unknown
NCT04582344,Health Institutes of Turkey,Not Applicable,Prevention,Phase 3,13000,2021-04-15,Turkey,Recruiting
NCT04547257,ExThera Medical Europe BV,ExThera Medical Corporation,Treatment,Unknown,42,2021-04-15,Netherlands,Unknown
NCT04375397,AbbVie,"Janssen Research & Development, LLC",Treatment,Phase 2,46,2021-04-16,United States,Not yet recruiting
NCT04574765,"University Health Network, Toronto",Not Applicable,Generic,Unknown,100000,2021-04-16,Canada,Recruiting
NCT04360824,University of Iowa,Not Applicable,Treatment,Phase 4,170,2021-04-16,United States,Recruiting
NCT04497922,Brigham and Women's Hospital,E-ink corporation,Other,Unknown,100,2021-04-17,United States,Unknown
NCT04365127,Sara Ghandehari,IBSA Institut Biochimique SA,Treatment,Phase 1,40,2021-04-17,United States,Unknown
NCT04393649,Jewish General Hospital,Not Applicable,Generic,Unknown,20000,2021-04-19,Canada,Recruiting
NCT04397835,"University Hospital, Toulouse",Not Applicable,Generic,Unknown,800,2021-04-20,France,Recruiting
NCT04394182,Fundacion GenesisCare,Hospital La Milagrosa,Supportive Care,Unknown,15,2021-04-21,Spain,Recruiting
NCT04355364,Fondation Ophtalmologique Adolphe de Rothschild,"University Hospital, Strasbourg, France",Treatment,Phase 3,100,2021-04-21,France,Recruiting
NCT04369859,Assistance Publique Hopitaux De Marseille,Not Applicable,Generic,Unknown,1300,2021-04-22,France,Recruiting
NCT04460183,Thirty Respiratory Limited,Not Applicable,Treatment,Phase 2,300,2021-04-23,United Kingdom,Recruiting
NCT04578158,Liaquat University of Medical & Health Sciences,Not Applicable,Treatment,Phase 2,200,2021-04-25,Pakistan,Unknown
NCT04355143,"University of California, Los Angeles",Not Applicable,Treatment,Phase 2,150,2021-04-25,United States,Recruiting
NCT04401293,Northwell Health,Not Applicable,Treatment,Phase 3,308,2021-04-26,United States,Recruiting
NCT04367168,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,Not Applicable,Treatment,Phase 2,174,2021-04-27,Mexico,Recruiting
NCT04410835,Medical University of Graz,Not Applicable,Generic,Unknown,1000,2021-04-28,Austria,Recruiting
NCT04379336,TASK Applied Science,Not Applicable,Prevention,Phase 3,500,2021-04-28,South Africa,Recruiting
NCT04476680,Royal Centre for Defence Medicine,University of Nottingham,Prevention,Unknown,4400,2021-04-28,United Kingdom,Unknown
NCT04406493,Hillel Yaffe Medical Center,Not Applicable,Diagnostic,Unknown,50,2021-04-28,Israel,Recruiting
NCT04369066,Institut Curie,Not Applicable,Health Services Research,Unknown,2800,2021-04-28,France,Recruiting
NCT04397523,Institute for Transfusion Medicine of RNM,"University Clinic for Infectious Diseases, North Macedonia",Treatment,Unknown,20,2021-04-29,North Macedonia,Recruiting
NCT04540679,Lawson Health Research Institute,ForaHealthyMe Inc,Other,Unknown,60,2021-04-29,N.A,Unknown
NCT04344951,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.,Athens General Hospital Hippokrateio,Prevention,Phase 2,60,2021-04-30,Greece,Recruiting
NCT04341610,"Rigshospitalet, Denmark",Not Applicable,Treatment,Phase 1,0,2021-04-30,Denmark,Unknown
NCT04340466,Centre Hospitalier Universitaire de Nīmes,Not Applicable,Generic,Unknown,220,2021-04-30,France,Recruiting
NCT04491292,M.D. Anderson Cancer Center,National Cancer Institute (NCI),Generic,Unknown,20000,2021-04-30,United States,Recruiting
NCT04529460,Royal Free Hospital NHS Foundation Trust,Not Applicable,Generic,Unknown,200,2021-04-30,N.A,Unknown
NCT04333355,Hospital San Jose Tec de Monterrey,Tecnologico de Monterrey,Treatment,Phase 1,20,2021-04-30,Mexico,Recruiting
NCT04465656,"Hospital St. Joseph, Marseille, France",Not Applicable,Generic,Unknown,250,2021-04-30,France,Recruiting
NCT04348435,Hope Biosciences,Hope Biosciences Stem Cell Research Foundation,Prevention,Phase 2,100,2021-04-30,United States,Unknown
NCT04396314,Universitat de Lleida,Francesc Rubí Carnacea,Treatment,Unknown,54,2021-04-30,N.A,Unknown
NCT04343963,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,Not Applicable,Treatment,Phase 2,436,2021-04-30,Mexico,Recruiting
NCT04357938,Jena University Hospital,Not Applicable,Generic,Unknown,145,2021-04-30,Germany,Unknown
NCT04478019,"University of Wisconsin, Madison",Not Applicable,Prevention,Early Phase 1,94,2021-04-30,United States,Recruiting
NCT04513990,M.D. Anderson Cancer Center,National Cancer Institute (NCI),Diagnostic,Unknown,1500,2021-04-30,United States,Recruiting
NCT04358809,Cadila Pharnmaceuticals,"Council of Scientific and Industrial Research, India",Treatment,Phase 3,480,2021-04-30,N.A,Unknown
NCT04323787,Mayo Clinic,Society of Critical Care Medicine,Generic,Unknown,50000,2021-04-30,United States,Recruiting
NCT04355247,Auxilio Mutuo Cancer Center,Not Applicable,Prevention,Phase 2,20,2021-04-30,Puerto Rico,Recruiting
NCT04528771,Robert Schilz,Case Western Reserve University,Treatment,Phase 1,21,2021-04-30,United States,Unknown
NCT04565665,M.D. Anderson Cancer Center,National Cancer Institute (NCI),Treatment,Phase 1,70,2021-04-30,United States,Recruiting
NCT04377620,Incyte Corporation,Not Applicable,Treatment,Phase 3,500,2021-04-30,United States,Recruiting
NCT04547114,Klinikum Bayreuth GmbH,Not Applicable,Generic,Unknown,200,2021-04-30,Germany,Recruiting
NCT04466657,Obafemi Awolowo University,Borno State Ministry of Health,Supportive Care,Unknown,90,2021-04-30,Nigeria,Unknown
NCT04397328,Lawson Health Research Institute,Not Applicable,Prevention,Phase 3,336,2021-04-30,N.A,Unknown
NCT04466670,University of Sao Paulo General Hospital,Not Applicable,Treatment,Phase 3,310,2021-04-30,Brazil,Recruiting
NCT04418128,Gyeongsang National University Hospital,Not Applicable,Treatment,Phase 2,84,2021-04-30,N.A,Unknown
NCT04336332,"Rutgers, The State University of New Jersey",Not Applicable,Treatment,Phase 2,160,2021-04-30,United States,Recruiting
NCT04378881,Tabula Rasa HealthCare,Cambia Health Solutions,Generic,Unknown,100,2021-04-30,United States,Unknown
NCT04394117,The George Institute,Not Applicable,Treatment,Phase 4,605,2021-04-30,Australia,Recruiting
NCT04341441,Henry Ford Health System,Not Applicable,Prevention,Phase 3,3000,2021-04-30,United States,Recruiting
NCT04530435,Bispebjerg Hospital,Hvidovre University Hospital,Prevention,Unknown,400,2021-04-30,Denmark,Recruiting
NCT04342728,The Cleveland Clinic,Not Applicable,Supportive Care,Unknown,520,2021-04-30,United States,Unknown
NCT04432870,Massachusetts General Hospital,Patient-Centered Outcomes Research Institute,Generic,Unknown,200,2021-04-30,United States,Unknown
NCT04393038,Abivax S.A.,Not Applicable,Treatment,Phase 2,1034,2021-04-30,Belgium,Not yet recruiting
NCT04421404,"Priscilla Hsue, MD",Blood Systems Research Institute,Treatment,Phase 2,50,2021-04-30,United States,Recruiting
NCT04586153,Jiangsu Pacific Meinuoke Bio Pharmaceutical Co Ltd,Not Applicable,Treatment,Phase 2,456,2021-04-30,N.A,Unknown
NCT04450004,Medicago,Not Applicable,Prevention,Phase 1,180,2021-04-30,Canada,Unknown
NCT04352556,Ospedale di Circolo - Fondazione Macchi,Not Applicable,Generic,Unknown,250,2021-04-30,Italy,Recruiting
NCT04359862,Fundación para la Investigación del Hospital Clínico de Valencia,Not Applicable,Treatment,Phase 4,50,2021-04-30,Spain,"Active, not recruiting"
NCT04328441,UMC Utrecht,Radboud University,Prevention,Phase 3,1500,2021-04-30,Netherlands,Unknown
NCT04412330,University of Kentucky,Ashley Montgomery-Yates,Treatment,Unknown,20,2021-05-01,United States,Recruiting
NCT04500366,McMaster University,Not Applicable,Prevention,Unknown,70,2021-05-01,Canada,Unknown
NCT04408326,Guy's and St Thomas' NHS Foundation Trust,Australian and New Zealand Intensive Care Research Centre,Generic,Unknown,50,2021-05-01,United Kingdom,Recruiting
NCT04568564,Istanbul Medipol University Hospital,Not Applicable,Supportive Care,Unknown,40,2021-05-01,Turkey,Recruiting
NCT04543760,"Hospital St. Joseph, Marseille, France",Not Applicable,Other,Unknown,18,2021-05-01,France,Recruiting
NCT04387409,Vakzine Projekt Management GmbH,FGK Clinical Research GmbH,Prevention,Phase 3,59,2021-05-01,Germany,Unknown
NCT04521920,Duke University,Not Applicable,Health Services Research,Phase 4,20,2021-05-01,United States,Unknown
NCT04363047,University of Manchester,Not Applicable,Generic,Unknown,125,2021-05-01,United Kingdom,Unknown
NCT04410432,Centre Hospitalier Universitaire Dijon,Not Applicable,Generic,Unknown,63,2021-05-01,France,Recruiting
NCT04344041,"University Hospital, Angers",Mylan Laboratories,Treatment,Phase 3,260,2021-05-01,France,Recruiting
NCT04344561,Johns Hopkins University,Not Applicable,Treatment,Unknown,70,2021-05-01,United States,Recruiting
NCT01134172,Memorial Sloan Kettering Cancer Center,The City College of New York,Generic,Unknown,935,2021-05-01,United States,Unknown
NCT04569383,Universitätsklinikum Hamburg-Eppendorf,German Center for Infection Research,Prevention,Phase 1,30,2021-05-01,Germany,Unknown
NCT04344431,Direction Centrale du Service de Santé des Armées,Not Applicable,Treatment,Phase 2,100,2021-05-01,France,Recruiting
NCT04414826,University of Texas at Austin,Not Applicable,Treatment,Unknown,120,2021-05-01,United States,Recruiting
NCT04586192,University of Pennsylvania,Not Applicable,Supportive Care,Unknown,2500,2021-05-01,United States,Unknown
NCT04344184,Virginia Commonwealth University,Not Applicable,Treatment,Phase 2,200,2021-05-01,United States,Unknown
NCT04435275,"University Health Network, Toronto",Not Applicable,Other,Unknown,50,2021-05-01,N.A,Unknown
NCT04455360,University Hospital Southampton NHS Foundation Trust,Dorset HealthCare University NHS Foundation Trust,Supportive Care,Unknown,26,2021-05-01,N.A,Unknown
NCT04405362,"University Hospital, Lille",Not Applicable,Generic,Unknown,753,2021-05-01,N.A,Unknown
NCT04388709,Icahn School of Medicine at Mount Sinai,Eiger BioPharmaceuticals,Treatment,Phase 2,66,2021-05-01,United States,Unknown
NCT04068922,University of Florida,National Institute on Aging (NIA),Treatment,Unknown,60,2021-05-01,United States,Recruiting
NCT04480112,Boston University,Not Applicable,Other,Unknown,150,2021-05-01,United States,Unknown
NCT04395924,Centre Hospitalier Régional d'Orléans,Centre de Biophysique Moléculaire - Pr Chantal Pichon,Generic,Unknown,50,2021-05-01,France,Recruiting
NCT04372979,Direction Centrale du Service de Santé des Armées,"University Hospital, Grenoble",Treatment,Phase 3,80,2021-05-01,France,Unknown
NCT04519424,CSL Behring,Not Applicable,Treatment,Phase 2,0,2021-05-01,N.A,Unknown
NCT04542434,"First Wave Bio, Inc.",Not Applicable,Treatment,Phase 2,148,2021-05-01,N.A,Unknown
NCT04549337,"Rigshospitalet, Denmark",Not Applicable,Prevention,Unknown,10,2021-05-01,N.A,Unknown
NCT04522817,"Caladrius Biosciences, Inc.",Not Applicable,Treatment,Phase 1,12,2021-05-01,United States,Recruiting
NCT04535674,Apogenix AG,Not Applicable,Treatment,Phase 2,400,2021-05-01,Russian Federation,Not yet recruiting
NCT04374019,Susanne Arnold,Not Applicable,Treatment,Phase 2,240,2021-05-01,United States,Recruiting
NCT04363216,Thomas Jefferson University,Not Applicable,Treatment,Phase 2,66,2021-05-01,N.A,Unknown
NCT04374461,Memorial Sloan Kettering Cancer Center,Not Applicable,Treatment,Phase 2,84,2021-05-01,United States,Recruiting
NCT04378842,"University Hospital, Lille",Not Applicable,Generic,Unknown,690,2021-05-01,France,Recruiting
NCT04570501,Stanford University,Not Applicable,Treatment,Phase 1,160,2021-05-01,United States,Unknown
NCT04530396,"Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation",Government of the city of Moscow,Prevention,Phase 3,40000,2021-05-01,Russian Federation,Recruiting
NCT04374656,Johns Hopkins University,Not Applicable,Generic,Unknown,50,2021-05-01,United States,Recruiting
NCT04417335,Radboud University,Not Applicable,Prevention,Phase 4,2014,2021-05-01,Netherlands,Unknown
NCT04524507,"University of North Carolina, Chapel Hill",Not Applicable,Treatment,Phase 2,56,2021-05-01,United States,Recruiting
NCT04351516,University Hospital Tuebingen,Not Applicable,Treatment,Phase 2,350,2021-05-01,Germany,Recruiting
NCT04364815,University of the Philippines,Not Applicable,Prevention,Phase 3,960,2021-05-01,N.A,Unknown
NCT04353206,Noah Merin,Johns Hopkins University,Treatment,Early Phase 1,60,2021-05-01,United States,Recruiting
NCT04372628,Vanderbilt University Medical Center,AbbVie,Treatment,Phase 2,600,2021-05-01,United States,Recruiting
NCT04409834,The TIMI Study Group,Not Applicable,Prevention,Phase 4,750,2021-05-01,United States,Recruiting
NCT04331899,Stanford University,Not Applicable,Treatment,Phase 2,120,2021-05-01,United States,Unknown
NCT04390191,Icahn School of Medicine at Mount Sinai,Itamar Medical LTD,Treatment,Unknown,200,2021-05-01,United States,Recruiting
NCT04348942,ObvioHealth,Not Applicable,Generic,Unknown,10000,2021-05-01,United States,Unknown
NCT04395807,Lund University,Region Skane,Treatment,Unknown,120,2021-05-01,Sweden,Recruiting
